position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
45,The Officer who is constitutionally responsible for the audit and report on the public accounts of the Federation is ..............,Sub-Treasurer of the Federation,Auditor General for the Federation,"Director, Audit monitoring",Finance Minister and Co-ordinating Minister of the Economy.,B,,,medium
46,"..............is responsible for providing adequate accounting systems and controls in the Ministries, Extra-Ministerial Departments and Agencies (MDAs) of Government.",Auditor-General for the Federation,Finance Minister and Co-ordinating Minister of the Economy.,Director - Funds Management of the Federal Government,Accountant-General of the Federation,D,,,medium
47,The Auditor-General performs the following statutory functions except:,Financial Audit.,Appropriation Audit,Generic Audit,Value-for-Money Audit.,C,,,medium
48,"The Officer who is in full control of, and is responsible for human, material and financial resources which are critical inputs in the management of an organization.","Director, Administration and Finance",Honourable Minister,Accounting Officer,"Director, Human Resources Management.",C,,,medium
49,"................ is an officer who is entrusted with the receipt, custody and disbursement of public money and who is required to keep one of the recognised Cash books together with such other books of accounts.",Auditor General,Sub-Accounting Officer,Accounting Officer,"Director, Human Resources Management.",B,,,medium
50,"The term ""Sub-Accounting Officer"" is applicable to the following officers except:","Director, Finance & Accounts or Head of Accounts",the Sub-Treasurer of the Federation.,"Federal Pay Officer, Police Pay Officer, Customs Area Pay Officer and Pensions Pay Officer.",Accountant General of the sub-national Government.,D,,,medium
51,"................. is an officer, other than a Sub- Accounting officer, who is entrusted with an official receipt, licence or ticket booklet for the regular collection of some particular forms of revenue and who is required to keep a cash book.",Revenue Collector,Head of Funds Section,"Chairman, Inland Revenue Service",Head of Bursary Section.,A,,,medium
52,A .............is one in· which the responsibility for the maintenance of the detailed record of expenditure and revenue and the Below-the-line payments and receipts ofthe ministry/extra-ministerial office and other arms of government or unit is delegated to the Accounting Officer.,Self-Accounting Unit.,National Accounting Ministry,Finance Attache in the Nigerian Embassy.,Central Pay Office (CPO).,A,,,medium
53,..................is a managerial control which functions by measuring and evaluating the effectiveness of lnternal Control system in an organisation.,Federal Auditor,"Director, Finance and Account",Internal Audit,Accountant General of the Federation,C,,,medium
54,"Checked and passed vouchers received in the........................ must be promptly dealt with and, under no circumstance, must a voucher be held in that Unit for more than forty-eight (48) hours.",Internal Audit Unit,Public Procurement Unit,Finance and Admin. Department,Auditor General's Office,A,,,medium
55,"An officer will be precluded from carrying out the duties of internal audit staff if he has previously been engaged on ..................... within the ministry, extra ministerial office and other arms of government.",Procurement Duties,Legalistic Duties,accounting Duties,Administrative Duties,C,,,medium
56,"The ranks of Internal Audit staff who are empowered to make use of audit stamps, must not be below ............. in Abuja and ..........outside Abuja.","GL.15, GL.14","GL.09, GL.08","GL.07, GL.06","GL.12, GL.10",B,,,medium
57,............... is not transferable from one officer to another.,"Account 'Paid"" stamp",stamp duty certificate,company sealed stamp,Internal audit stamp,D,,,medium
58,"An ..................is held after the close of business on the last business day of each financial year to examine the cash, bank balances and stamps in an MDA.",Annual Board of Enquiry,Annual Board of Agencies and Parastatals meeting,Annual Board of Survey,Annual Ministerial Tenders Board (MTB) meeting,C,,,medium
59,"It is the responsibility of the Director, Treasury Inspectorate Department of the Office of the Accountant-General of the Federation (OAGF) to convene .............",Annual Board of Enquiry,Annual Board of Agencies and Parastatals meeting,Annual Ministerial Tenders Board (MTB) meeting,Annual Board of Survey,D,,,medium
60,Members of the Board of Survey are ........in number.,Three (3),Six (6),Two (2),Five (5),A,,,medium
61,Stores are broadly classified into ..................... and .....................,Primary and Secondary Stores,New and obsolete Stores,Allocated and Unallocated Stores.,Crude and Refined Stores.,C,,,medium
62,"....................., ....................and....................three further categories of Government Stores","Primary, Secondary, and Tertiary Stores","New, fairly new, and old Stores","Allotted, Unalloted, and Fairly Alloted Stores.","Expendable, Non-Expendable, and Consumable Stores.",D,,,medium
63,.......... or ...............must not be used in place of local purchase order or job order for the procurement of stores locally.,Allocated or Unallocated working materials,special imprest or cash advance,Expendable or Consumable retired items.,Secondary or tertiary stores,B,,,medium
64,A Board of Enquiry may not be necessary due to the following except:,if the loss is immaterial.,if it is an isolated incident.,if the identity of the officer responsible is indisputable.,if collusion is suspected.,D,,,medium
65,The following are conditions for setting up a Board of Inquiry except:,if fraud is probable.,if the identity of the officer responsible is indisputable.,"if several officers are involved, and the loss took place over a period of time; and",if the loss is substantial.,B,,,medium
66,Board of Survey (BoS) should consist of at least ...............members while the Chairman of the BoS should not be below Grade Level..................,"Three (3), GL. 14","Nine (9), GL. 16","Six (6), GL. 12","Five (5), GL. 07",A,,,medium
67,"A Board of Survey will be required to inspect a minimum of............ of the stock categories, but if a serious discrepancy is found or suspected, then a.............inspection must be conducted.","10 per cent, 90 per cent","40 per cent, 100 per cent","25 per cent, 75 per cent","30 per cent, 70 per cent",B,,,medium
68,Any public officer who is alleged to be involved in the inflation of contract would be allowed .......... within which to respond to audit query addressed to him.,30 days,14 days,5 days,7 days.,C,,,medium
69,A query on an unauthorised variation of contract(s) and procurement shall be answered within..........of issue.,30 days,21 days,12 days,14 days.,B,,,medium
70,A store-keeper or an officer-in-charge of store is required to answer an audit query on a shortage or loss of stores within..............of issue.,14 days,24 days,10 days,6 days.,A,,,medium
71,How many chapters are in the Financial Regulations?,19 chapters,23 chapters,32 chapters,11 chpters,C,,,medium
72,Who endorsed the Preface of the 2009 Financial Regulations.,"Dr. (Mrs.) Okonjo Iweala, Former Finance Minister of Nigeria.",Former President Goodluck Jonathan,Former President Olusegun Obasanjo,"Dr. Mansur Muhtar, Former Finance Minister of Nigeria.",D,,,medium
73,Open Treasury Portal of the Federal Government of Nigeris is aimed at......................,ensuring transparency and accountability to the public as well as securing citizens' trust.,Engendering government openness in allowing citizens to elect their preferred candidates.,promoting people's access to intrerest free loans and grants.,enhancing transparency in the distribution of relief materials to victims of insecurity in the country.,A,,,medium
74,...................is a memorandum account maintained by an officer controlling expenditure for the control of expenditure in a budget year.,Vote Book,Treasury cash Book.,Managment Account Book,Cash Requisition Book,A,,,medium
75,The Government's Financial Transparency Policy requires that the monthly budget performance report is ready within ........of the end of the month.,14 days,24 days,7 days,3 days.,C,,,medium
76,The Government's Financial Transparency Policy stipulates that the monthly fiscal accounts are rendered within ........of the end of the month.,14 days,24 days,7 days,3 days.,A,,,medium
77,"...................is an accounting document made or written on a prescbribed form, which contains the full particulars of a transaction in favour of persons (s) or organization to whom sum of money is due.",Auhority-to-incur Expenditure (AIE),Voucher,Warrant,Financial Regulations.,B,,,medium
78,The following rules except one must be observed when preparing a payment voucher (PV).,"A PV must be legible, readable and clearly written.",Use of a proper treasury form,The use of an appropriate cheque folio,Erasure or alteration of any kind is not allowed.,C,,,medium
79,Vote book is also known as .......................,Departmental Expenditure Vote Allocation Book (DEVAB),Treasury cash Book.,Managment Account Book,Cash Requisition Book,A,,,medium
80,...................cash loans to officers who are employees of the Government.,Auhority-to-incur Expenditure (AIE),Voucher,Warrant,Advances,D,,,medium
81,A trial balance can be in form of ................... and .......................,Main trial balance and supplementary trial balance.,Primary trial balance and secondary trial balance,Basic trial balance and advance trial balance,Core trial balance and peripheral trial balance.,A,,,medium
82,The Public Accounts Committee (PAC) of the National Assembly came into existence in ......... and re-enacted in ..........,"1945, 1999","1993, 2019","1958, 1987",2005 2023,C,,,medium
83,Section ...........of the constitution of the Federal Republic of Nigeria enables the Auditor-General for the Federation to submit his report to the National Assembly.,85 (2),165 (1),25 (3),105 (4),A,,,medium
84,The Public Accounts Committee (PAC) performs a ............................audit function.,extra-ordinary,anti-extortion,Post Mortem,Interim,C,,,medium
85,PAIT means ........................................,Personal Administrative Income Taxes,Public Accounts Implementation Tribunal,Perennial Assets Internal Taxation,Pension Accounts International Trust,B,,,medium
86,Accounting Unit implies.....................................,Method of computing pension benefits,Unit of measuring fair value of transaction,Tax implementation accounting table,"Ministry, Extra-Ministerial Department and Agency.",D,,,medium
87,IFRS 18 replaces ................ and its application takes effect from ....................,"IPSAS 30, 31st December, 2026","IFRS 9, 1st June, 2026","IAS 1, 1st January, 2027","SAS 10, 30th June, 2027.",C,,,medium
88,From ..............Normal/ Regular Cash advances are capped at................while special projects & programme advances are capped at ...................,"1st August, 2025, N1,000,000.00 N10,000,000.00","30th June, 2025, N200,000.00 N2,000,000.00","1st January, 2026 N1,100,000.00 N5,000,000.00","31st December, 2025 N250,000.00 N7,500,000.00",A,,,medium
89,ERGP means..........................,Economic Redesign and Growth Policy.,Economic Renaissance and Great Programme,Economic Recovery and Growth Plan,Ecnonoic Recovery and Grand Policy,C,,,medium
90,MTSS in the Nigerian budgetary system means:,Mid-Term Solution Strategy,Mid-Trasnformation Support Strategy,Medium Transnational Solution Support,Medium Term Sector Strategy.,D,,,medium
91,MTFSP is................................,Medium Term Fiscal Strategy Paper,Mid-Term Financial Solution Policy,Medium Term Funding Strategic Plan,Mid-Term Framework Support Programme.,A,,,medium
92,MTFF implies....................,Mid-Term Funding Focus.,Medium-Term Fiscal Framework.,Mid Term Financial Framework.,Medium Term Funding Focus.,B,,,medium
93,".........................serve as the statutory foundational documents for preparing the national budget, as well as for macroeconomic projections and spending plans for a rolling three-year period in Nigeria.",NRPP/STP,ERPS/STP,MTEF/FSP,DSCE/NRP,C,,,medium
94,...............is a situation where the anticipated expenditure is higher than the projected revenue over a period of one year.,Balanced budget,zero-based budget,expenditure budget,budget deficit.,D,,,medium
95,...........................was introduced for ensuring prudent management of national resources through MTEF and other budgetary reforms.,"Fiscal Responsibility Act (FRA), 2007.","Budget Office Act (BOA), 2009.","Nigeria Revenue Act (NRA), 2025.","National Salaries, Income and Wages Act, 2019.",A,,,medium
96,...............is any income or returns accruing to or derived by the government of the federation from any sources.,Surplus budget,Kaizen financing,Activity-based financing,Revenue,D,,,medium
97,The Nigeria's national budget can also be referred to as.....................,Disbursement Act,Ailing finance,Appropriation Act.,Bankruptcy.,C,,,medium
98,"With effect from 1st January, 2026, IPSAS 47 would unify and replace .........",IPSAS 9 (Exchange Transactions).,IPSAS 11 (Construction Contracts).,IPSAS 23 (Non-Exchange Transactions).,All of the above.,D,,,medium
99,"IPSAS 43 replaces ................on leases with effect from 1st January, 2026.",IPSAS 4,IPSAS 13,IPSAS 21,IPSAS 33,B,,,medium
100,"Effective 1st January, 2026, IPSAS 45 on Property, Plant and Equipment) replaces ...........",IPSAS 17,IPSAS 22,IPSAS 30,IPSAS 1,A,,,medium
101,"The provision for the establishment of a special pool account, called Federation Account in Nigeria is in............",Section 85 (2) of the 1999 Constitution.,Section 11 of the 1999 Constitution.,Section 162 of the 1999 COnstitution.,Section 23 of the 1999 Constitution.,C,,,medium
102,Federation Account Allocation Committee (FAAC) was establsihed through ..........................to deal with Revenue Allocation among the three teirs of government in Nigeria.,"Federal Inland Revenue Act, 2007 as amended.","Revenue Allocation and Distribution Act, 1992 as amended.","Fiscal Responsibility Act, 2007 as amended.","Control (Finance & Management) Act, 1958 as amended.",B,,,medium
103,The balance in the Federation Account is distributed among the three tiers of government after deducting...................,10% Local Government Special Fund.,7.5% Value Added Tax (VAT),13% Derivation,5% Withholding Tax (WHT).,C,,,medium
104,Federation Account Allocation Committee (FAAC) is is sub-divided into....................,Technical Session.,Plenary Session.,Post-mortem Session.,All of the above.,D,,,medium
105,Federation Account maintains...............after the revenue sharing at the end of every month.,Surplus Balance,,Nil Balance,None of the above.,C,,,medium
106,FAAC Technical Session meets a day before the Plenary Session to..............,consider the accounts of the Revenue Collecting Agencies and Pensions.,consider the accounts of Revenue available for distribution.,make recommendations to the plenary session for the adoption of the accounts.,all of the above.,D,,,medium
107,which of the following are functions of the Plenary Sub-Committee of the FAAC?,To further deliberate on the accounts ONLY.,To adopt the accounts for distribution to the beneficiaries ONLY.,Both A and B Options.,None of the above.,C,,,medium
108,Who are members of the FAAC sub-committee - Technical Session?..............,Accountant General of the Federation as the Chairman.,Accountant Generals from each State of the Federation as members.,"Representatives from Agencies such as NNPCL, NRS, NCS, NUPRC, RMAFC, FMF, CBN, NPC,MSMD.",All of the above,D,,,medium
109,The Plenary Session meets .................the technical session's meeting.,After,During,Before,None of the above.,A,,,medium
110,The membership of the Plenary Session comprise the any of the following:,ONLY the Honourable Minister of Finance as the Chairman.,"ONLY the Accountant General of the Federation as well as Representatives from Agencies such as NNPCL, NRS, NCS, NUPRC, RMAFC, FMF, CBN, NPC,MSMD.",All of the above.,,C,,,medium
111,The purpose of the ............is to examine the revenue inflows by reconciling discrepancies between Revenue agencies's report and actual acredits into the Federation Account of Nigeria.,Technical Sub-Committee of the FAAC,Post-Mortem Sub-Committee of the FAAC,Plenary Sub-Committee of the FAAC,None of the above.,B,,,medium
112,The vertical distribution of national revenue is.,"Federal (52.68%), State (26.72%) and Local Government (20.60)","Federal (49.60%), State (33.78%) and Local Government (16.62)","Federal (53.60%), State (26.78%) and Local Government (19.62)",None of the above.,A,,,medium
113,One of the followings is the Federal Government Share of its proceeds from the Federation Account.,"FGN (44.50%), FCT (2%), Derivation & Ecology (2%), Devt.of Natural Resources (3.18%), Stabilization Fund (1.0%)","FGN (46.0%), FCT (2%), Derivation & Ecology (2%), Devt.of Natural Resources (0.68%), Stabilization Fund (2.0%)","FGN (48.50%), FCT (1%), Derivation & Ecology (1%), Devt.of Natural Resources (1.68%), Stabilization Fund (0.5%)",All of the above.,C,,,medium
114,The horizonal distribution of national revenue is.,"Equality of states (40.0%), Population (30.0%), Land Mass and Terrain (10.0%), Social Development Factor (10.0%) and Internal Revenue Effort (10.0%).","Equality of states (25.0%), Population (35.0%), Land Mass and Terrain (15.0%), Social Development Factor (10.0%) and Internal Revenue Effort (15.0%).","Equality of states (35.0%), Population (25.0%), Land Mass and Terrain (12.5%), Social Development Factor (15.0%) and Internal Revenue Effort (12.5%).",None of the above.,A,,,medium
115,"Value Added Tax (VAT) sharing ratios among the three (3) tiers of government are.........., ............ and ..................","Federal (20%), State (60%) and Local Government (20%)","Federal (10%), State (55%) and Local Government (35%)","Federal (18%), State (52%) and Local Government (30%)","Federal (25%), State (45%) and Local Government (30%)",B,,,medium
116,.................. was established by an Act of the National Assembly in 2011 to manage funds in excess of budgeted hydrocarbon revenue,Federal Ministry of Finance Incorporated (MOFI),Nigeria Revenue Service (NRS),Nigeria Sovereign Investment Authority (NSIA),"Revenue Mobilization, Allocation and Fiscal Commission. (RMAFC).",C,,,medium
117,The NSIA's ownership interest is held by all the Federating units in the ratio?,"FGN (46.4%), State (34.9%), Local Govt. (18.2%) and FCT (0.5%).","FGN (41.4%), State (39.9%), Local Govt. (16.2%) and FCT (2.5%).","FGN (39.4%), State (36.9%), Local Govt. (20.2%) and FCT (1.5%).","FGN (36.4%), State (38.9%), Local Govt. (22.2%) and FCT (2.5%).",A,,,medium
118,The objectives of Nigeria Sovereign Investment Authority (NSIA) include the following except one:,To build a savings base for future generations of Nigerians.,To enhance the development of domestic infrastructure.,To provide economic stabilization support during periods of severe stress.,To promote industrial harmony among the key employees of the Nigerian Government for higher productivity and performance.,D,,,medium
119,"The following but one, are types of savings coordinated by the Nigeria Sovereign Investment Authority (NSIA)",Post-Service Investment Fund (PSIF),Future Generations Fund (FGF),Stabilisation Fund (SF),Nigeria Infrastructure Fund (NIF),A,,,medium
120,The 7.5% Value Added Tax (VAT) was introduced in Nigeria through the .....................,"Data Protection Act, 2023.","Federal Inland Revenue Act, 2007.","Finance Act, 2019.",President's Executive Order 8 of 2022.,C,,,medium
121,The two main government agencies in charge of e-collection in Nigeria are.............. and .................,"Office of the Accountant-General of the Federation (OAGF), and Central Bank of Nigeria (CBN).","National Pension Commission (PenCom), and Revenue Mobilization, Allocation and FIscal Commission (RMAFC).",Debt Management Office (DMO) and Nigeria Ports Authority,Securities and Exchange Commission (SEC) and Office of the Auditor General for the Federation (OAuGF).,A,,,medium
122,The Federal Government operates a stringent revised policy on cash management and bottom-up cash planning to enhance fiscal discipline in the following ways except.,MDAs must ensure availability of funds before awarding contracts or entering into financial obligations.,The Ministry of Finance must approve and issue warrants and AIEs before MDAs make any legal commitment.,Cash management meetings chaired by the Minister of Finance should heavily focus on revenue mobilization and closing fiscal gaps for the macroeconomic stabilization.,The Debt Management Office (DMO) to be merged with the Ministry of National Planning for greater economic growth.,D,,,medium
123,"Under the Bottom-Up Cash Planning of the FGN, MDAs are required to prepare and submit targeted cash plans to match .....................",spending with actual revenue inflows,Prior year budgeted expenditure with past revenues.,issuing contract award letter with pending approval of warrants or AIEs.,Functions of the Minister of State for Finance with that of the Director-General of the Budget Office of the Federation.,A,,,medium
124,Section 25 (1) of the......................stipulates that the Office of the Accountant-General of the Federation shall draw up annual cash plan in every financial year.,"Nigeria Revenue Service (NRS), 2025.","FIscal Responsibility Act (FRA), 2007","Finance (Control & Management) Act, 1958.","Audit Ordinance Act, 1956.",B,,,medium
125,All MDAs are required to submit their monthly expenditure needs for consolidation by the............... in the OAGF.,Finance & Accounts Department.,Inspectorate Department.,Funds Department,None of the above.,C,,,medium
126,The Federal Cash Management Policy Committee (FCMPC) is chaired by ...............for the federal government cash planning and management.,The President of the Federal Republic of Nigeria.,The Auditor General for the Federation.,Secretary to the Government of the Federation,Honourable Minister of Finance.,D,,,medium
127,The Management position of the the Federal Government's Cash Management policy is structured as follows except one.,"Cash Management Unit (Funds Department, OAGF).",Cash Management Technical Committee,Sub-National Cash Management Advisory Committee,Federal Cash Management Policy Committee.,C,,,medium
128,Two levels of the Federal Government's Cash Plans are................. and .....................,Monetary and Physical Cash Management policy,Basic and advanced cash management policy,a macroeconomic cash management policy for government spending and a social intervention scheme for vulnerable citizens.,All of the above.,C,,,medium
129,...........is a managerial control which functions by measuring and evaluating the effectiveness of internal control system in an organization.,Auditor General,Stock Verifier,Internal Audit.,External Audit,C,,,medium
130,What is the full meaning of PICA.,President's Information Content Accuracy (PICA).,Presidential Initiatives on Continous Audit (PICA).,Published International Cost Accounting (PICA).,Presidential Intervention on Continous Audit (PICA).,B,,,medium
131,E-payment is a sub-set of.................,e-defrayment,e-remittance,e-governance,e-Arsenal,C,,,medium
132,The following are types of audit in the public sector except:,Compliance Audit,Financial Audit,Capital Audit.,Performance Audit.,C,,,medium
133,Types of audit reports in the Public Sector include the following except:,Inspection report and Special report,Interim report and Annual report,Nil Report.,All of the above.,D,,,medium
134,There are two types of e-payment system practically operational in the Nigerian Public Sector:,End-to-end e-payment processing and manual e-payment/use of mandate.,Primary e-payment processing and secondary e-payment processing.,Basic e-payment processing and advanced e-payment processing.,traditional e-payment processing and modernised e-payment processing.,A,,,medium
135,Audit-able areas in the public sector include the following but one:,Stores,Advances.,"Salaries, Wages and Variation",All of the above.,D,,,medium
136,The following are forms of e-governance Service Delivery in Nigeria except one:,G2C (Government-to-Citizens),G2F (Government-to-Firmament),G2G (Government-to-Government),G2B (Government-to-Business),B,,,medium
137,What is the full meaning of GIFMIS.,Government Intervention Financial Managements Information System (GIFMIS),Government Integrated Financial Monitoring Information System (GIFMIS),Government Interactive Financial Management Information System (GIFMIS),Government Integrated Financial Management Information System (GIFMIS),D,,,medium
138,"........... are the policies, procedures, and technical safeguards an entity implements to protect assets, ensure accurate financial reporting, and prevent fraud in the organization.",Internal controls,Audit Guide,Audit Compass,None of the above.,A,,,medium
