position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
100,An Officer is in a serious financial embarrassment if the aggregate sum of his unsecured debts and liabilities at any point in time exceed..............,the sum of three times his monthly emoluments.,the sum of his twelve months salary.,the total amount of six months of statutory allowances.,the sum of nine (9) months of his emoluments.,A,,,medium
101,The following are kinds of disciplinary measures that may be taken against any erring public officer except.,"Dismissal, termination or retirement",Reduction in salary or rank,Attrition in chastisement,Witholding or deferment of increment.,C,,,medium
102,An appeal from an aggrieved Officer must be handled and concluded within.............,One (1) month,Three (3) months,Six (6) months,Nine (9) months.,C,,,medium
103,An appeal/petition must carry the following except:,Full name,Staff Number,Signature and Address of the Appellant/Petitioner/ Complainant.,National Identity Number (NIN) of the Appellant/Petitioner/ Complainant.,D,,,medium
104,"An Appeal/ petition will not be looked into, for the following reasons except.",deals with s case in which legal action is pending in a COurt of Law.,is illegible or meaningless.,"complies with Public Service Rule (PSR) 110102 of the year, 2021.","is worded in abusive, improper, foul language or a repetition of a previous petition.",C,,,medium
105,".............is the maximum aggregate sick leave that an officer is entitled to, in the first instance, during any period of twelve months.",Three (3) months,Six (6) months,Nine (9) months,Twelve (12) months.,A,,,medium
106,"When a pensionable officer dies in Service, the Government will pay.......percent of his total annual emolument to the deceased family as burial expenses.",300%,100%,200%,75%,B,,,medium
107,Any prolonged absence from duty on account of illness should be supported with the following documents except:,Excuse Duty Certificate,Light Duty Certificate,Heavy Duty Certificate,Medical Certificate of Treatment.,C,,,medium
108,"For a medical check-up abroad, officers on ........must obtain the approval of the Head of the Civil Service of the Federation.",Salary Grade Level 06 and below,Salary Grade Level 07-10,Salary Grade Level 15-17,Salary Grade Level 12 and above,D,,,medium
109,"Where medical treatment is to occur in Nigeria but outside the Officer's duty post, he must be provided with .........at the prevailing rate.",Estacode Allowance,Hotel Accommodation Allowance,Duty Tour Allowance,Kilometre Allowance,C,,,medium
110,...........is the authorized absence of an Officer from duty for specific period.,Training,condonation,transfer,leave,D,,,medium
111,"Thirty (30) working days, Twenty-one (21) working days and Fourteen (14) working days are authorized leave period for Officers on Grade Levels ............, ................ and ................respectively.","GL 07 and above, GL 04-06 and GL 03 and below","GL 15 and above, GL 14-08 and GL 07 and below","GL 14 and above, GL 13-07 and GL 06 and below","GL 16 and above, GL 15-09 and GL 08 and below.",A,,,medium
112,An Officer would qualify for annual leave not less than ............. after the previous leave within a leave earning service year.,One (1) month,Two (2) months,Four (4) months,Six (6) months.,D,,,medium
113,Leave will be taken at one time but it may be taken in not more than..............,Three (3) installments,Four (4) installment,Two (2) installment,Five (5) installment,C,,,medium
114,Any leave not utilized within the............. concerned will be forfeited.,first three (3) months of the following year,the calendar year,initial two (2) months of the following year,first month of the subsequent year,B,,,medium
115,An Officer will be granted a proportionate leave for the period he put in Service for the reasons except:,If he is attending a course of instruction/training over a period of six months.,If he is retiring within the period of Leave-Earning Service.,If he is joining the Federal Public Service during the course of the Leave Year.,If he is working with the Head of an Extra-Ministerial Office as a domestic servant.,D,,,medium
116,".........is the maximum number of days of a casual leave that an officer is entitled to, after exhausting his annual leave.",5 days,3 days,7 days,10 days.,C,,,medium
117,A pregnant female officer is entiled to........... maternity leave at a stretch commencing not less than .......from the expected date of delivery.,"112 working days, 28 working days","72 working days, 15 working days","96 working days, 21 working days","102 working days, 24 working days",A,,,medium
118,"If a female officer adopts a child under four months old with an evidence of approval of the adoption, she would enjoy .........maternity leave.",112 working days,72 working days,84 working days,102 working days,A,,,medium
119,"If a family of a male officer adopts a child under four months old with an evidence of approval of the adoption, he would enjoy .........maternity leave.",64 working days,44 working days,24 working days,14 working days,D,,,medium
120,Sabbatical leave is applicable to Officers on GL 15 and above from duty for a period of ..........calendar months once in ...........years,"twelve (12) calendar months, five (5) years","ten (10) calendar months, six (6) years","eight(8) calendar months, four (4) years","six (6) calendar months, two (2) years",A,,,medium
121,Study leave in the public service includes the following except:,Leave for professional study,Leave for in-service training,study leave with pay,study leave without pay.,A,,,medium
122,Study leave with pay and leave for in-service training should not exceed .......with a maximum ........extension.,"four (4) years, two (2) years","two (2) years, one (1) year","three (3) years, three (3) years","five (5) years, four (4) years",B,,,medium
123,The full meaning of PRESSSID is,Preparatory Relief Enhancement Subsisdy Stabilization Strategy in Depot (PRESSSID),Presidential Special School Scheme for Independent Development (PRESSSID),Presidential Special Scholarship Scheme for Innovation and Development (PRESSSID),Presidential Safe School Scheme for Innovation and Development (PRESSSID),C,,,medium
124,The conditions for study leave without pay include the following except:,the proposed course of study is contained in the approved training proposal for the MDAs of the concerned officer,Officers on study leave without pay are entitled to normal emoluments and allowances.,the duration of the study leave without pay must not be more than four years in the first instance,the period of study should not be regarded as a break in service.,A,,,medium
125,An Officer may be allowed special leave from duty on full pay on compassionate ground for a period up to.........for burial of spouse/child/parents/parents of spouse.,Four (4) weeks,Six (6) weeks,Five (5) weeks,Two (2) weeks,D,,,medium
126,.........is absence of an Officer from duty authorized on grounds of public policy.,Study leave,Leave of absence,Casual Leave,Examination leave,B,,,medium
127,Leave of absence can be in form of the following except.,Leave of absence to join spouse on grounds of public policy and to join spouse on a course of intruction of not less than nine (9) months duration abroad.,Leave of absence on public policy for Technical Aid programmes and Special / Personal Assistant on grounds of public policy.,"Leave of absence for spouse of Presidents, Vice Presidents, Governors, Deputy Governors on grounds of public policy.","Leave of absence to take up political appointments such as Ministers, Commissioners, SSG, SGF.",D,,,medium
128,A female officer who is nursing a child is entitled to........every day up to a maximum period of .........from the date she resumes duty from maternity leave.,"five (5) hours off-duty, ten (10) months.","seven (7) hours off-duty, twelve (12) months.","two (2) hours off-duty, six (6) months.","four (4) hours off-duty, three (3) months.",C,,,medium
129,A male officer is entitled to paternity leave for a period of ...........and not more than once in ..........for a maximum of .......... children.,"32 working days, 6 years, nine","28 working days, 4 years, seven","24 working days, 3 years, five","14 working days, 2 years, four",D,,,medium
130,The following officers are entitled to Kilometre Allowance except:,A newly appointed officer,A retiring officer with spouse and four (4) children,An officer undertaking responsibility using his own car and on transfer or posting or where air transport services do not exist,"An officer working with a Chief Executive, living at a very far distance to the office.",D,,,medium
131,A retiring officer is entitled to .......of his gross annual emolument as ...........,"100%, Resposibility Allowance","75%, Resettlement Allowance","25%, Disengagement Allowance","50%, Hardship Allowance",C,,,medium
132,"A newly appointed, transferred or posted officer outside his/her station is entitled to transport fare for ...........as..........allowance.","Self, spouse and at most four children, Hotel accommodation allowance (1st 28 days)","Self, parents and domestic workers, Responsibility allowance","Self, Immediate supervisor and four colleagues Resettlement allowance","Self, and siblings, Hazard allowance",A,,,medium
133,An officer on an approved official trip is entitled to ............to pay for lodging and feeding expenses.,Resettlement allowance.,Kilometre allowance,Hotel accommodation allowance,Duty tour allowance,D,,,medium
134,Civil Service is instrumental to the Executive Arm of Government by performing the following functions except one:,Policy initiation,Policy legislation,Policy formulation,Policy implementation.,B,,,medium
135,..............is the 30% of Duty Tour Allowance.,Resettlement allowance.,Transport and Local running allowance,Hotel accommodation allowance,Duty tour allowance,B,,,medium
