position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
20,"Unlike the old percentage grading in APER, the new PMS framework scores civil servants based on behavior and results using a rating scale. What is the typical layout of the modern PMS rating matrix?",Pass / Fail flat points,"A 5-point scale ranging from ""Unsatisfactory"" to ""Outstanding""",An alphabetical tier system from Grade A to Grade F,A binary scoring pool of 0 or 1,B,,,medium
21,"Persistent failure by an officer to hit targets established in their signed Performance Compact, even after documented coaching and training cycles, is classified under the Public Service Rules as:",Gross Misconduct,Inefficiency,Serious Misconduct,Financial Malpractice,B,,,medium
22,"To eliminate paper waste and ease tracking, the Federal Government integrated the Performance Management System into which broad public sector digital infrastructure?",Corporate Affairs Commission Online Portal,National Identity Management System database,The Federal Civil Service Enterprise Content Management (ECM) system,Central Bank GBB Treasury Platform,C,,,medium
23,What is the functional purpose of the Mid-Year Review phase in the PMS cycle?,To approve annual leave allowances for directorate cadres.,"To track progress, adjust targets if national priorities shift, and tackle early bottlenecks.",To conduct promotion examinations for officers on GL 14 and above.,To compile names of civil servants due for mandatory retirement.,B,,,medium
24,"Modern public service reforms advocate for a ""360-degree feedback"" module within the PMS. What does this evaluation method imply?",The officer's performance is reviewed exactly 360 days into the financial calendar year.,The report must be vetted by 360 different directors across the service.,"Gathering performance insights from an officer’s supervisors, peers, subordinates, and internal clients.",Reviewing files using a rotational digital scanner at the registry.,C,,,medium
25,"Under the revised civil service guidelines, an officer who consistently secures an ""Outstanding"" rating on their PMS scorecard for consecutive evaluation cycles is eligible for:",An automatic skip of two grade levels without an interview.,"Accelerated career progression pathways, performance bonuses, or fast-tracked leadership training slots.",Permanent exemption from paying federal income tax.,Automatic placement as a Permanent Secretary.,B,,,medium
26,"How does the new PMS protect a junior officer from a supervisor who tries to give unfair, bad marks due to personal issues?",Junior officers can write anonymous petition letters directly to the President.,"Through open, evidence-based performance reviews and a formal Performance Appeal Committee structure.",By allowing the junior officer to score their supervisor in return with equal weight.,By automatically deleting any score that falls below a 50% average.,B,,,medium
27,"Which statutory body is constitutionally vested with the primary power to appoint, promote, and exercise disciplinary control over mainstream civil servants on Grade Levels 07 to 17 in the Federal Civil Service?",Office of the Head of the Civil Service of the Federation (OHCSF),Federal Civil Service Commission (FCSC),The Federal Character Commission (FCC),Ministry of Labour and Employment,B,,,medium
28,"According to the Public Service Rules, an appointment into the civil service made for a specific, non-pensionable duration, which automatically terminates at the end of the agreed timeframe, is classified as:",Permanent and Pensionable Appointment,Probationary Appointment,Contract Appointment,Acting Appointment,C,,,medium
29,"Except where otherwise approved by the Federal Government for specialized cadres, what is the standard statutory minimum age threshold for a fresh applicant seeking a permanent appointment into the Nigerian Civil Service?",15 years of age,18 years of age,21 years of age,16 years of age,B,,,medium
30,"When a fresh graduate receives a permanent appointment into the civil service, what is the mandatory standard period of probation they must serve before becoming eligible for confirmation?",Six months,One year,Two years,Three years,C,,,medium
31,When did the new Exit Benefit Scheme (EBS) officially take effect for federal civil servants?,"March 31, 2026","January 1, 2026","May 1, 2026","June 12, 2026",B,,,medium
32,"Under the 2026 EBS guidelines, what is the minimum number of years an officer must serve to qualify for the 100% gratuity exit benefit?",15 years,5 years,10years,18 years,C,,,medium
33,Which category of public institutions is covered under the new Exit Benefit Scheme?,Only self-funded parastatals,State and Local Government Staff members of age 45 and above.,"Treasury-funded Ministries, Extra-Ministerial Departments, and Agencies (MDAs)",Employees who retired under the Defined Benefits Pension Scheme (DBPS),C,,,medium
34,The 100% Exit Benefit Scheme is built to run in line with which legal framework?,"OHCSF Establishment Act, 1978.",Financial Regulations 2009.,Public Service Rules (Revised 2021),Section 4(4A) of the Pension Reform Act 2014.,D,,,medium
35,Where is the dedicated fund account for the Exit Benefit Scheme domiciled?,Conglomerate Account of Association of Pension Fund Custodians,The Central Bank of Nigeria (CBN),Consortium Account of Pension Fund Administrators (PFAs),Pension Account of the Office of the Head of Service,B,,,medium
36,What application platform is being upgraded by PenCom to handle the processing and management of the EBS?,GIFMIS Portal,COBRA,IPPIS Platform,REMITA Gateway,B,,,medium
37,"Which federal agency must issue a formal ""Certificate of Compliance"" to an MDA before any fresh recruitment or appointment exercise is legally valid in Nigeria?","National Salaries, Incomes and Wages Commission",Federal Character Commission (FCC),Federal Civil Service Commission,Bureau of Public Service Reforms,B,,,medium
38,"To qualify for formal confirmation after completing the probationary period, a new officer must satisfy several conditions. Which of the following is a mandatory legal requirement for confirmation?",Registering with a public sector trade union.,Securing a Master's degree in Public Administration.,Getting a letter of recommendation from a local government chairman.,Passing the prescribed Civil Service Confirmation/Promotion Examination (COMPRO).,D,,,medium
39,"When an officer receives a fresh appointment or a promotion within the civil service, how is their annual incremental date statutorily determined under standard rules?",It always falls on the officer's birthday.,It is randomly selected by the ministry's accounting department.,It is fixed for the 1st of January based on the effective date of the appointment.,It is calculated exactly 180 days from their confirmation exam date.,C,,,medium
40,"A permanent civil servant seeking to move from a State Civil Service to the Federal Civil Service must apply for a ""Transfer of Service"". Which condition makes this transfer completely invalid?","The officer currently has an active, unresolved disciplinary query or suspension pending against them.",The officer has spent five years in the state service.,The application is supported by their current State Civil Service Commission.,The officer's current grade level matches the vacant federal post.,A,,,medium
41,"For non-Nigerian citizens appointed on a contract basis into specialized public health or engineering roles, what is the maximum duration for a single contract term extension?",One year flat,"Two years, renewable upon satisfactory performance",Five years without any option of review,Three months rolling,B,,,medium
42,"What is the primary operational difference between a ""Secondment"" and a ""Transfer of Service"" in public appointments?","Secondment applies only to junior officers, while Transfer is for directorate cadres.","Secondment is temporary and preserves the officer's right to return to their parent organization, while Transfer is a permanent release of an officer.","Transfer involves a mandatory salary cut, while Secondment doubles an officer's allowances.",There is no legal or operational difference between the two terms.,B,,,medium
43,A retired civil servant who is re-engaged on a contract basis due to critical technical skill shortages must take which mandatory legal step upon resuming duty at an MDA?,Forfeit their previously earned retirement gratuity assets.,Subscribe to the Oath of Allegiance and Official Secrets Act.,Serve a fresh two-year probationary period.,Join the junior staff union to protect their contract rights.,B,,,medium
44,"When an officer passes his promotion interview and receives a promotion letter, the effective date of his placement in the new promotion is typically determined by:",The date specified by the Federal Civil Service Commission in the formal promotion letter.,The day the officer decides to sign their new performance compact.,The exact day the next national budget is signed into law.,The exact date the officer joined the Serve.,A,,,medium
45,"If it is discovered after an appointment has been confirmed that an officer submitted a falsified age or educational certificate during recruitment, the penalty under the PSR is:",A formal written warning and a one-year delay in promotion.,"A serious misconduct, resulting in a dismissal from the service without retirement benefits.",Migration to a non-pensionable contract position.,Re-sitting the confirmation exam within thirty days.,B,,,medium
46,"When multiple fresh officers are appointed to the same cadre on the same effective date, how is their administrative seniority relative to each other determined?",By counting the number of letters in their surnames as well as their heights and weights.,By their ranking order or scores in the selection/recruitment examination as well as the exact date and timing on their Assumption of Duty Certificate.,By the exact hour they reported to the ministry's registry via online registration module.,By their parents’ and/or spouse’ birthdays.,B,,,medium
47,"Before any fresh permanent appointment can be finalized and integrated into the federal payroll system, the appointment details must be verified and cleared by:",The Corporate Affairs Commission,The National Library of Nigeria,The OHCSF via the Integrated Personnel and Payroll Information System (IPPIS) verification unit.,The Federal Ministry of Information and National Orientation,C,,,medium
48,What is the major limitation of the old Annual Performance Evaluation Report (APER) that necessitated the transition to the current Performance Management System (PMS) in the Nigerian Civil Service?,"APER was entirely digital, which made it difficult for older civil servants to navigate.","It was highly subjective, event-driven, and lacked continuous feedback and alignment with strategic goals.",APER focused too heavily on continuous coaching and objective setting rather than administrative discipline.,"APER did not include input from the supervising officer, making it a unilateral decision by the employee.",B,,,medium
49,Which of the following best describes the main objective of the modern Performance Management System in the Nigerian Civil Service?,To ensure strict disciplinary actions are taken against civil servants who miss any target.,To replace the Civil Service Rules with private sector profit-driven metrics.,To enhance service delivery by aligning individual employee performance with institutional mandates and national development plans.,To centralize all decision-making regarding promotions exclusively at the Office of the Head of Civil Service of the Federation (OHCSF).,C,,,medium
50,"Under the new PMS framework, how are Key Performance Indicators (KPIs) formulated and agreed upon?",They are jointly established and mutually agreed upon by the supervisor and the officer at the beginning of the performance cycle.,They are strictly dictated by the Head of Civil Service without input from the individual officers.,They are determined solely by the junior officers and presented to the directors for approval.,They remain static throughout an officer's entire career in a specific grade level.,A,,,medium
51,Which of the following represents the correct sequence of the 4-phase performance management cycle in the Nigerian Civil Service?,"Appraisal, Planning, Rewarding, Monitoring","Planning, Monitoring and Coaching, Annual Appraisal, Reward and Development","Planning, Auditing, Appraisal, Disciplinary Action","Target Setting, Mid-year Review, Terminal Evaluation, Summary Judgment.",B,,,medium
52,"In the context of the PMS, what criteria are utilized to ensure that Key Performance Indicators (KPIs) are effective and objective? [1]","They must be Sacred, Measurable, Appropriate, Relatable, and Technical (SMART)","They must be Specific, Measurable, Achievable, Relevant, and Time-bound (SMART)","They must be Scalable, Manageable, Automated, Rigid, and Tested (SMART)","They must be Subjective, Multi-layered, Adaptive, Rapid, and Tailored (SMART).",B,,,medium
53,How does the PMS framework address the issue of capacity building and employee development in the civil service?,By mandating immediate dismissal for any civil service officer who fails to acquire a master's degree within two years.,"Training is only provided to senior management, as junior officers are expected to learn on the job without structured programs.",By continuously identifying skill gaps during performance reviews and linking officers to targeted training and development programs.,Capacity building is entirely the responsibility of the individual officer without support from the MDA.,C,,,medium
54,"Under the FCSSIP 25 (Federal Civil Service Strategy and Implementation Plan), what is the focus of the Performance Management System regarding consequence management?",To focus entirely on punishing mistakes without any provisions for rewarding excellence.,Consequence management is not included in the modern PMS to avoid demoralizing civil servants.,To ensure that all promotion examinations are conducted orally rather than through written assessments.,To institutionalize a system that recognizes and rewards high performers while addressing underperformance through targeted coaching and corrective actions.,D,,,medium
55,"What is the primary purpose of the ""Monitoring and Coaching"" phase within the PMS annual cycle?",To wait until the end of the year to secretly document all the mistakes an officer has made.,"To track progress against set targets, provide ongoing feedback, and offer support to ensure objectives are met.",To take over the daily responsibilities of the junior officer and do the work for them.,To conduct the final oral interview for promotion to the next directorate level.,B,,,medium
56,"In cascading objectives from the institutional level to the individual level within the Nigerian Civil Service, what is the correct flow?",Individual Work Plans -> Departmental Objectives -> National Development Plan,National Development Plan -> Ministerial/Institutional Mandate -> Departmental Goals -> Individual Work Plans,Departmental Goals -> National Development Plan -> Ministerial Mandate -> Individual Work Plans,Individual desires -> Head of Service Mandate -> Departmental Directives -> State Level Agendas,B,,,medium
57,What is the role of the Performance Moderation Committee in the Nigerian Civil Service PMS framework?,To arbitrarily reduce the scores of all officers to save the government money on promotion allowances.,"To review performance ratings across the organization to ensure consistency, eliminate bias, and normalize scores.",To take over disciplinary proceedings and dismiss civil servants without fair hearing.,To exclusively dictate who gets promoted without considering the annual appraisal results.,B,,,medium
58,Which core document provides the foundational policy direction for the rollout of the modern PMS across the Nigerian Federal Civil Service?,The Public Service Treasury Circulars (PSTC).,The National Civil Service Reform Plan (NCSRP),The 1999 Constitution of the Federal Republic of Nigeria,The Federal Civil Service Strategy and Implementation Plan (FCSSIP),D,,,medium
59,"In the PMS model, what is expected when an employee's performance is consistently rated as below expectations during the mid-year review?",The supervisor should immediately issue a letter of demotion without offering any support.,No action is required; performance may improve naturally by the end of the year.,The supervisor and employee should identify capacity gaps and develop a Performance Improvement Plan (PIP) with targeted coaching.,The employee should be redeployed to another Ministry immediately without any performance review.,C,,,medium
60,Which of the following best explains how the PMS promotes transparency in the Nigerian Civil Service?,Performance scores are published publicly on national dailies.,Officers do not see their own ratings until they are promoted.,"Through clear, mutually agreed-upon KPIs and continuous dialogue, ensuring the officer understands exactly how their performance is evaluated.",Supervisors can alter the assessment criteria at any time without informing the evaluated officers.,C,,,medium
61,How does the PMS approach reward management differently than the traditional APER system?,PMS completely eliminates the promotion examination system.,"Rewards, such as accelerated promotion and recognition, are directly linked to the achievement of agreed performance targets rather than just seniority.",Rewards are determined solely by the number of years an officer has spent on a specific salary grade level.,The PMS abolishes all forms of monetary rewards for civil servants.,B,,,medium
62,"According to the revised Public Service Rules (PSR), what is the statutory minimum period of service an officer on Grade Level (GL) 14 must spend on that grade to become eligible for promotion to Grade Level 15?",3 years,2 years,4 years,6 years,A,,,medium
63,"Which independent statutory body is vested with the constitutional power to appoint, promote, dismiss, and exercise disciplinary control over civil servants in the Federal Civil Service?",Office of the Head of the Civil Service of the Federation (OHCSF),Federal Civil Service Commission (FCSC),Federal Character Commission (FCC),National Directorate of Employment (NDE).,B,,,medium
64,"When a promotion vacancy exists in an MDA and multiple officers have the same maturity period and APER score, the following criteria are used as the primary tie-breaker under Civil Service Rules except?",State of origin based on federal character,Date of first assumption of duty.,Date of present appointment.,Date of the official letter of appointment from the Civil Service Commission.,A,,,medium
65,An officer who fails a promotion examination for a consecutive number of times may be advised to withdraw or be compulsorily retired from the service. What is this statutory limit?,Two consecutive attempts,Four consecutive attempts,Three consecutive attempts,Five consecutive attempts.,C,,,medium
66,"Under the Annual Performance Evaluation Report (APER) system, what is the minimum score an officer must attain to be deemed suitable for promotion consideration?",45%,65%,70%,60%,D,,,medium
67,"According to the revised Public Service Rules, what is the minimum maturity period required for an officer on Grade Levels 06 and below to become eligible to sit for the promotion examination to the next grade level?",Two (2) years,Three (3) years,Four (4) years,Five (5) years,A,,,medium
68,"An officer scores 68.5% overall in the promotion exercise, surpassing the minimum statutory pass mark of 60%. However, the officer is not promoted due to ""no vacancy"" in the higher grade level. What is the legal status of this officer's promotion?","The officer is automatically promoted, and a new post must be created.",The officer's pass score is carried over indefinitely until a vacancy opens.,The officer has passed but cannot be promoted; he must sit for the next promotion exercise if vacancies remain unavailable.,The officer has the right to seek a redress in the court of law for the promotion right violation.,C,,,medium
69,"When an officer successfully passes the 2026 Federal Civil Service Promotion Examination and vacancies are available, what is the standard regulatory effective date of that promotion?",The date the examination results are officially published.,The first day of the month in which the exam was taken.,1st of January of the promotion year.,31st of December of the promotion year.,C,,,medium
70,What is the main purpose of the current Performance Management System (PMS) introduced in the Nigerian Federal Civil Service?,To replace the Confidential Reporting System,To focus solely on the assessment and reward of seniority,To continuously align individual performance with institutional goals for efficient service delivery,To punish civil servants for late coming.,C,,,medium
71,"About four decades ago, what specific appraisal tool was adopted to reposition the Public Service, which is now being upgraded to the comprehensive PMS?",Staff Audit Appraisal Report (SAAR),Public Service Confidential Appraisal Reporting System (PSCARS),Staff Performance Improvement and Appraisal System (SPIAS).,Annual Performance Evaluation Report (APER),D,,,medium
72,Which of the following is NOT one of the core principles of the Nigerian Public Service PMS?,Transparency and fairness,Continuous feedback and coaching,Objective-driven appraisals,Reliance on seniority rather than on-the-job performance.,D,,,medium
73,"According to the Public Service Rules (PSR), what is the standard weight/score ratio usually allocated to promotion examinations and interviews in the civil service?",55%,69%,85%,60%,D,,,medium
74,Which body oversees the implementation of the PMS and performance contracts across federal ministries to ensure compliance?,Office of the Head of the Civil Service of the Federation (OHCSF),Federal Character Commission (FCC),National Productivity Centre (NPC),Federal Ministry of Labour and Employment.,A,,,medium
75,What is the first step a supervisor must take upon noticing an act of misconduct by a subordinate?,Immediate interdiction,Recommendation for termination,Suspension of monthly salary,Issuance of a formal query in writing.,D,,,medium
76,"Which of the following offenses is classified as ""Serious Misconduct"" under the Public Service Rules, potentially leading to dismissal?",Falsification of official records,Uncertified illness,Drunkenness,Failure to keep records.,A,,,medium
77,What is the maximum duration an officer can remain on interdiction pending the investigation of a criminal charge?,9months,6 months,Until officer is found guilty or acquitted.,3 months.,D,,,medium
78,"Under the Public Service Rules (PSR), which body is the ultimate approving authority for the condonation of a break in service?",The Accounting Officer of the officer's MDA.,Office of the Head of the Civil Service of the Federation (HCSF),The Federal Civil Service Commission (FCSC),The Secretary to the Government of the Federation (SGF).,C,,,medium
79,"When an officer is placed on interdiction, what percentage of their emoluments are they entitled to receive?",75%,50%,0%,25%,B,,,medium
80,Which constitutional body holds the ultimate power to dismiss or discipline senior civil servants in the Nigerian Federal Civil Service?,Office of the Head of the Civil Service of the Federation (OHCSF),Ministry of Justice,Federal Civil Service Commission (FCSC),National Directorate of Employment (NDE).,C,,,medium
81,What is the main difference between interdiction and suspension?,"Interdiction is only applicable to senior officers, while suspension is applicable to junior officers only.","Interdiction requires a police report, while suspension does not.",Interdiction can only be endorsed by the Minister while suspension is handled by the Accounting Officer.,"Interdiction is temporary removal from duty with partial pay, while suspension is temporary removal usually without pay pending the outcome of an investigation.",D,,,medium
82,Which of the following constitutes serious misconduct under the Public Service Rules?,Sleeping on duty.,Willful delay in submitting an Annual Performance Evaluation Report (APER).,"Bribery, Corruption, Embezzlement",Battery,C,,,medium
83,"If a senior officer is absent from duty without leave or reasonable excuse for how many days, it can be treated as abscondment and lead to termination of appointment?",15 working days,5 working days,28 working days,10 working days.,D,,,medium
84,What happens to an officer who has a pending disciplinary matter but is due for promotion?,They are promoted with immediate effect but with no salary increase.,They are deemed ineligible for promotion until they are fully absolved of the disciplinary allegations.,"Their promotion is rightfully processed, but payment is withheld.",The promotion is automatically downgraded to a lower cadre.,B,,,medium
85,"Before the proceedings for the removal of an Officer for general inefficiency may begin, he must have been warned on ………………… in writing.",five occasions.,seven occasions,three occasions,two occasions,C,,,medium
86,"Which body is statutorily empowered to handle the appointment, promotion, and discipline of federal civil servants?",The Federal Civil Establishment Council,Office of the Head of Civil Service of the Federation,Federal Ministry of Labour and Productivity.,Federal Civil Service Commission,D,,,medium
87,What is the ultimate penalty for an officer found guilty of general inefficiency?,Dismissal with loss of all exit benefits,Compulsory transfer to a remote village.,Termination of appointment,Public reprimand by the Permanent Secretary.,C,,,medium
88,A pensionable officer was dismissed from the service after facing a disciplinary panel. What happens to his gratuity and pension?,He is paid his full gratuity and 75% of his pension.,He forfeits all rights to both gratuity and pension payable by his Employer.,His pension would be paid through the Head of Service only.,"He is paid his gratuity, but his pension is suspended for 36 months.",B,,,medium
89,What is the required timeline for an officer to appeal a disciplinary action taken against them?,Within 6 months,Within 21 days of receiving the letter,Within 28 days,Within 42 days of receiving the decision,A,,,medium
90,Who has the power to interdict an officer on Grade Level 07 to 10?,The Minister of the Ministry of Labour and Employment.,The Head of Civil Service of the Federation,"The Chairman, Federal Character Commission.",The Permanent Secretary or Head of Extra-Ministerial Office,D,,,medium
91,"Which Chapter of the Public Service Rules (PSR) explicitly defines and deals with disciplinary matters, including Misconduct and Gross Misconduct?",Chapter 10,Chapter 2,Chapter 14,Chapter 12,A,,,medium
92,"According to the PSR, ""Misconduct"" is defined as a specific act of wrong-doing or improper behaviour. Which of the following is classified under ordinary Misconduct rather than Gross Misconduct?",Serious Financial embarrassment,Refusal to proceed on transfer or accept posting.,Violation of oath of secrecy.,Falsification of records.,B,,,medium
93,What is the maximum statutory timeline required for an officer to submit a written representation in response to an official query?,72 hours,24hours,48 hours,36 hours. e.,A,,,medium
94,"Which of the following offenses is classified as ""Gross Misconduct"" and can lead to immediate dismissal from the service?",Habitual lateness to work,Suppression of records,Improper dressing,Discourteous behavior to the public.,B,,,medium
95,"If an officer under interdiction is fully acquitted of all disciplinary charges, what happens to the emoluments withheld during the interdiction period?",He is permanently forfeited to the Federal Government.,He is refunded in full.,Only 50% of the withheld amount is refunded.,The money is converted into terminal leave allowance.,B,,,medium
96,An officer who absents themselves from duty without official leave (AWOL) for a continuous period of _____ days shall be deemed to have vacated their post.,13 days,5 days,Two weeks,28 days,C,,,medium
97,"Which of the following statement is true regarding ""Suspension"" under the Public Service Rules?",The duration should not be more than 7 days.,It carries only 75% pay throughout the period.,It is applied when an officer is being investigated for a negligible misconduct.,It implies a total detachment from duty with the stoppage of all salary pending the determination of the case.,D,,,medium
98,"According to the Public Service Rules (PSR), what is the statutory retirement age for an officer in the Nigerian Public Service?",60 years,65 years,70 years,55 years,A,,,medium
99,An officer in the Nigerian Public Service can proceed on voluntary retirement after reaching what minimum age?,35 years,45 years,50 years,50 years,B,,,medium
100,"Under the Pension Reform Act, how many minimum years of continuous service must an officer complete to qualify for a retirement pension?",15 years,12 years,10 years,18 years,C,,,medium
101,"If a confirmed officer wishes to resign from the Public Service, what is the standard notice period required?",Three weeks,Six weeks,Three months,One month,D,,,medium
102,"Which of the following best describes ""Withdrawal of Service"" under the Nigerian Public Service Rules?",An officer who has not reached retiring age but has served for 10 or more years leaves the service.,Leaving the service due to a disciplinary action,An officer leaving the service without any retirement benefits,Forced retirement of an officer by the government,A,,,medium
103,"What is the primary difference between ""Dismissal"" and ""Termination of Appointment"" in the Nigerian Public Service?","Dismissal is always with full retirement package, whereas termination is without benefits","Dismissal is decided by the Head of Service, while termination is decided by the Chairman (FCSC).","Dismissal results in the forfeiture of all terminal benefits, whereas termination may attract some benefits",There is no difference; both attract the same punishment.,C,,,medium
104,Under what conditions can an officer be retired from the Public Service on medical grounds?,After suffering a minor illness that requires one month of bed rest,When the officer requests a change of career due to stress,Upon attaining the age of 45 years with frequent hospital visits,When a duly constituted Medical Board certifies that the officer is permanently incapacitated.,D,,,medium
105,"Under the Group Life Insurance Scheme for Public Servants, what is the minimum payout ratio in the event of death in service?",100% of annual emolument,200% of annual emolument,300% of annual emolument,500% of annual emolument,C,,,medium
106,"If an officer is dismissed from the Nigerian Public Service, what happens to his contributory pension?",It is transferred to the officer's state of origin,The officer only receives his own contributions; the employer's contribution is forfeited,It is refunded directly to the officer as a lump sum,The government converts it to a loan for the officer,B,,,medium
107,Which specific organization is legally responsible for the payment of retirement benefits (pension) to Federal Civil Servants in Nigeria who retired under the Defined Benefits Scheme?,Nigeria Social Insurance Trust Fund (NSITF),The Office of the Head of Civil Service of the Federation.,Pension Transitional Arrangement Directorate (PTAD),The Federal Civil Service Commission,C,,,medium
108,What is the annual leave duration for a civil servant on Grade Level (GL) 04-06?,30 working days.,14 working days,21 working days.,7 working days.,C,,,medium
109,"According to the revised Public Service Rules (PSR), what is the approved duration of maternity leave for a female public officer?",14 weeks,72 calendar days,16 weeks,6 months,C,,,medium
110,What is the duration and condition of paternity leave granted to male public officers in the Nigerian Public Service?,18 working days,21 working days,14 working days,5 working days.,C,,,medium
111,What is the annual leave entitlement for a public officer on Grade Level (GL) 07 to 10 in the Nigerian Public Service?,24 working days,30 working days,21 working days,32 working days,B,,,medium
112,"Under the Public Service Rules, what is the maximum cumulative period an hospitalized officer can be on sick leave with full pay within any one year of service?",13 months,six weeks,9 months,6 months,D,,,medium
113,"For a public officer to be granted Study Leave with Pay, which of the following conditions must be met according to the PSR?","The course must be relevant to the civil service, and the officer must be bonded to serve the government for a specific period upon return",The officer must have spent at least one year in the service.,The course of study must be solely based on the officer's personal interest.,It is only granted to officers on Grade Level 15 and above.,A,,,medium
114,"Under the Public Service Rules, what is the maximum cumulative period a non-hospitalized officer can be on sick leave with full pay within any one year of service?",90 days,2 months,9 months.,42 days.,D,,,medium
115,Compassionate leave is typically granted to a public officer in the event of the death or critical illness of a close family member. What is the usual duration for this type of leave?,Three (3) weeks,Two (2) weeks,Five (5) weeks,Four (4) weeks,B,,,medium
116,"Under the PSR, can a public officer accumulate his annual leave from year to year?","No, leave cannot be accumulated beyond two consecutive years without special approval.","Yes, an officer can accumulate leave indefinitely until retirement.","Yes, but only for junior officers on GL 01-03.",No. Any leave not taken within the calendar year concerned will be forfeited.,D,,,medium
